Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,2,-0.181385371,1,0,-0.225466592,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,FALSE
1,2,-2.024746306,1,2,0.18865657484452997,FALSE,FALSE,FALSE
1,3,-0.795839016,0,0,-0.489501503,FALSE,TRUE,FALSE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.104578666,1,0,-0.33614521,TRUE,TRUE,FALSE
1,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
0,3,-0.104578666,2,0,-0.211798788,TRUE,FALSE,FALSE
0,3,-0.872645722,1,0,-0.289861424,FALSE,FALSE,TRUE
0,3,-1.717519483,4,1,0.15058916727371655,TRUE,FALSE,TRUE
0,3,-0.642225605,0,0,-0.491095275,TRUE,FALSE,TRUE
1,1,1.5083621520310757,1,0,0.895993561,FALSE,FALSE,FALSE
1,2,-0.02777196,1,0,-0.124849666,FALSE,FALSE,TRUE
0,1,2.737269441640988,0,1,0.5991736306380456,TRUE,FALSE,FALSE
1,1,-0.104578666,0,0,0.066322492,TRUE,FALSE,TRUE
1,2,-0.642225605,0,0,-0.436762135,FALSE,FALSE,TRUE
0,3,-0.066175313,0,0,-0.502581703,TRUE,FALSE,FALSE
1,2,-1.871132894,1,2,-0.089633742,FALSE,FALSE,TRUE
0,3,-1.410292661,5,2,0.29572908222032107,TRUE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.502581703,TRUE,FALSE,FALSE
1,1,0.66348839,0,0,0.9618131286303883,FALSE,FALSE,TRUE
0,1,1.2011353296285976,1,0,1.0317418918109011,TRUE,FALSE,TRUE
0,3,-1.9479396,3,2,-0.086615234,TRUE,FALSE,TRUE
0,1,-0.104578666,0,0,-0.090221345,TRUE,FALSE,FALSE
1,3,-0.104578666,1,1,-0.341260574,TRUE,FALSE,FALSE
1,2,-0.02777196,0,0,-0.436762135,FALSE,FALSE,TRUE
0,3,-0.795839016,0,0,-0.483885066,TRUE,FALSE,TRUE
1,3,-0.949452427,4,2,-0.488579852,FALSE,FALSE,TRUE
0,3,-0.258192077,2,0,-0.473738855,TRUE,FALSE,TRUE
0,2,0.20264815682054385,0,0,-0.436762135,TRUE,FALSE,TRUE
0,3,-1.026259133,5,2,0.29572908222032107,FALSE,FALSE,TRUE
0,2,-0.642225605,0,0,0.8310111255589249,TRUE,FALSE,TRUE
0,3,-0.258192077,1,0,-0.357190246,TRUE,FALSE,FALSE
1,3,0.20264815682054385,0,0,0.48882906084695926,TRUE,FALSE,TRUE
0,3,-0.334998782,0,0,-0.494113782,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
1,2,-2.191416857,0,2,-0.064479511,TRUE,FALSE,TRUE
1,3,0.049034746,0,0,-0.397018449,FALSE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.466947213,TRUE,FALSE,TRUE
1,3,-0.02777196,0,0,-0.45688552,TRUE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.491346817,FALSE,TRUE,FALSE
0,1,-0.104578666,0,0,0.2997537592379046,TRUE,FALSE,TRUE
1,2,-0.949452427,0,0,-0.436762135,FALSE,FALSE,TRUE
1,3,0.27945486242116335,3,0,-0.329102025,FALSE,FALSE,TRUE
0,3,-1.026259133,1,3,0.043683683994155176,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
1,1,-0.488612194,3,2,4.644392599719279,FALSE,FALSE,TRUE
0,3,-0.411805488,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.02777196,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.71903231,0,0,-0.490004587,TRUE,FALSE,TRUE
0,1,1.2779420352292172,1,0,0.5829904043503424,TRUE,FALSE,TRUE
0,3,-0.258192077,1,2,-0.23401903,TRUE,FALSE,TRUE
0,3,2.276429208037271,0,0,-0.502163137,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
0,1,3.198109675244705,0,0,0.049302133,TRUE,FALSE,FALSE
1,1,-0.488612194,0,1,0.6269257910127927,TRUE,FALSE,FALSE
1,2,0.3562615680217829,0,1,-0.185219821,FALSE,FALSE,TRUE
0,2,0.3562615680217829,1,0,-0.124849666,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
0,1,-0.642225605,0,1,0.907228447,TRUE,FALSE,TRUE
0,3,0.27945486242116335,0,0,-0.473905879,TRUE,FALSE,TRUE
0,3,0.5866816848236415,2,0,-0.488579852,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
1,3,-0.642225605,0,0,-0.494113782,FALSE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.491598359,TRUE,FALSE,TRUE
0,3,0.66348839,0,0,-0.489167454,TRUE,FALSE,TRUE
1,3,-0.104578666,1,0,-0.162077929,FALSE,TRUE,FALSE
0,1,1.3547487408298367,0,0,0.39835834616870003,TRUE,FALSE,TRUE
0,3,-1.141469191,1,0,-0.357190246,FALSE,FALSE,FALSE
0,3,-0.565418899,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.71903231,1,0,-0.45034542,FALSE,FALSE,TRUE
0,3,-0.949452427,0,0,-0.35710774,FALSE,FALSE,FALSE
0,3,-0.642225605,0,0,-0.488579852,TRUE,FALSE,TRUE
0,3,3.1597063224443955,0,0,-0.492101444,TRUE,TRUE,FALSE
0,2,-0.02777196,1,0,-0.225466592,TRUE,FALSE,TRUE
0,1,-0.411805488,0,1,4.332898697266388,TRUE,FALSE,FALSE
0,3,-2.101553011,4,2,-0.01869881,FALSE,FALSE,TRUE
0,2,-0.642225605,2,0,0.8310111255589249,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
0,2,0.24105150962085362,1,0,-0.04293139,TRUE,FALSE,FALSE
1,2,0.24105150962085362,0,0,-0.386453672,FALSE,FALSE,TRUE
0,1,1.8923956800341732,0,1,0.907228447,TRUE,FALSE,TRUE
1,3,-1.333485955,1,0,-0.42183662,TRUE,FALSE,FALSE
0,3,-0.104578666,0,0,-0.492101444,TRUE,TRUE,FALSE
1,3,-0.411805488,0,0,-0.504342499,TRUE,FALSE,TRUE
1,3,-0.104578666,1,1,-0.198132998,FALSE,FALSE,FALSE
0,3,1.2011353296285976,0,0,-0.507697067,TRUE,FALSE,TRUE
0,3,0.27945486242116335,0,0,-0.489167454,TRUE,FALSE,FALSE
0,3,-0.71903231,0,0,-0.506187814,TRUE,FALSE,TRUE
0,3,1.3547487408298367,1,0,-0.356268595,FALSE,FALSE,TRUE
1,2,-0.02777196,1,0,-0.124849666,FALSE,FALSE,TRUE
0,2,-0.334998782,0,0,-0.386453672,TRUE,FALSE,TRUE
0,2,-0.488612194,0,0,-0.345285251,TRUE,FALSE,FALSE
1,1,-0.795839016,0,2,-0.119148711,FALSE,FALSE,TRUE
0,1,0.5866816848236415,1,0,0.4204940697654092,TRUE,FALSE,TRUE
0,3,-1.026259133,0,0,-0.462586475,TRUE,FALSE,TRUE
0,1,-0.411805488,0,0,0.9457144205600544,TRUE,FALSE,FALSE
0,3,-0.104578666,0,2,-0.341260574,FALSE,FALSE,FALSE
1,3,-0.565418899,0,0,-0.492101444,FALSE,FALSE,TRUE
1,3,-0.411805488,1,0,-0.329102025,FALSE,FALSE,TRUE
0,3,-0.795839016,0,0,-0.512224829,TRUE,TRUE,FALSE
0,2,-0.872645722,0,0,-0.41663875,TRUE,FALSE,TRUE
0,2,-0.795839016,1,1,0.091476724,TRUE,FALSE,TRUE
1,3,-0.181385371,0,0,-0.491179793,TRUE,FALSE,TRUE
0,3,-1.563906072,2,2,0.043683683994155176,FALSE,FALSE,TRUE
0,2,0.5482783320233316,0,2,-0.124849666,TRUE,FALSE,TRUE
0,2,0.970715213,0,0,-0.386453672,TRUE,FALSE,TRUE
0,2,1.6619755632323148,0,0,-0.39601228,TRUE,FALSE,TRUE
1,1,-0.565418899,1,0,0.6921597684522944,FALSE,FALSE,TRUE
0,3,2.0076057384351027,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,0.8555051544258098,0,2,-0.356268595,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.500905425,TRUE,FALSE,TRUE
0,1,1.6619755632323148,0,1,0.5870995995852952,TRUE,FALSE,FALSE
1,3,-1.026259133,0,0,-0.492437505,FALSE,TRUE,FALSE
0,3,0.049034746,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.473738855,TRUE,FALSE,TRUE
0,3,-0.104578666,8,2,0.751523754,TRUE,FALSE,TRUE
0,3,1.1243286240279782,0,1,-0.324071178,TRUE,FALSE,TRUE
1,2,0.8171018016255001,0,0,-0.331114363,FALSE,FALSE,TRUE
0,3,-0.258192077,0,0,-0.491598359,TRUE,FALSE,TRUE
0,3,-0.949452427,0,0,-0.473738855,TRUE,FALSE,TRUE
0,3,-2.178359717,4,1,0.15058916727371655,TRUE,FALSE,TRUE
1,3,-1.563906072,0,2,-0.235025199,TRUE,FALSE,TRUE
1,1,-0.104578666,0,1,0.4587285014324523,FALSE,FALSE,TRUE
0,3,1.2011353296285976,1,4,-0.086615234,FALSE,FALSE,TRUE
0,1,-0.104578666,0,0,-0.12635892,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,0.48882906084695926,TRUE,FALSE,TRUE
0,1,2.430042619,0,0,0.026075722042227415,TRUE,FALSE,TRUE
0,3,-1.9479396,4,1,-0.061964088,TRUE,TRUE,FALSE
1,3,-2.178359717,1,1,-0.424017995,FALSE,FALSE,TRUE
0,3,-0.642225605,0,0,-0.488579852,TRUE,FALSE,TRUE
0,1,2.0460090912354123,0,0,-0.030354274,TRUE,FALSE,FALSE
0,3,-0.872645722,1,1,-0.490004587,TRUE,FALSE,TRUE
0,3,-0.104578666,3,1,-0.135581467,TRUE,FALSE,TRUE
0,1,1.5851688576316951,0,0,-0.070264984,FALSE,FALSE,FALSE
0,2,0.049034746,0,0,-0.386453672,TRUE,FALSE,TRUE
0,3,0.5098749792230219,0,0,-0.648057678,TRUE,FALSE,TRUE
0,3,-0.104578666,8,2,0.751523754,FALSE,FALSE,TRUE
0,2,-0.104578666,0,0,-0.345200733,TRUE,FALSE,FALSE
0,3,-1.563906072,4,2,-0.016434929,TRUE,FALSE,TRUE
1,2,-2.178359717,2,1,0.13675434002577333,TRUE,FALSE,TRUE
1,3,-1.9479396,0,2,-0.204840122,FALSE,FALSE,TRUE
0,1,-0.104578666,0,0,0.35811157599286514,TRUE,FALSE,TRUE
1,3,-0.104578666,1,0,-0.33614521,FALSE,TRUE,FALSE
1,1,1.2011353296285976,0,0,-0.113781804,TRUE,FALSE,TRUE
0,3,0.8171018016255001,1,1,-0.33614521,TRUE,TRUE,FALSE
0,3,0.5098749792230219,0,0,-0.489167454,TRUE,FALSE,TRUE
1,2,0.20264815682054385,0,0,-0.386453672,FALSE,FALSE,TRUE
0,2,-0.795839016,0,0,-0.386453672,TRUE,FALSE,TRUE
1,3,-0.795839016,1,0,-0.490004587,FALSE,FALSE,TRUE
1,2,-2.024746306,1,1,-0.124849666,TRUE,FALSE,TRUE
1,1,1.1243286240279782,0,0,-0.090221345,FALSE,FALSE,FALSE
1,1,2.1996225024366516,0,0,2.300436803386727,FALSE,FALSE,FALSE
0,3,-0.104578666,0,0,-0.492101444,TRUE,TRUE,FALSE
0,3,0.970715213,0,1,-0.478936725,TRUE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
0,2,-0.411805488,0,0,-0.386453672,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.45688552,TRUE,FALSE,TRUE
0,3,-0.104578666,8,2,0.751523754,TRUE,FALSE,TRUE
0,3,0.3562615680217829,0,0,-0.517340194,TRUE,FALSE,TRUE
0,3,1.2395386824289074,0,0,-0.502666221,TRUE,FALSE,FALSE
1,3,-0.872645722,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-2.101553011,0,1,-0.437516762,FALSE,FALSE,TRUE
0,3,0.20264815682054385,1,0,-0.329102025,TRUE,FALSE,TRUE
1,3,-0.258192077,0,0,-0.269989581,TRUE,FALSE,FALSE
1,3,-1.026259133,0,0,-0.492101444,FALSE,TRUE,FALSE
1,1,0.8171018016255001,0,0,-0.024232741,TRUE,FALSE,FALSE
0,3,-0.411805488,0,0,-0.506187814,TRUE,FALSE,TRUE
1,2,0.4330682736224024,0,0,-0.225466592,FALSE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.502163137,TRUE,FALSE,TRUE
0,2,0.049034746,0,0,-0.386453672,TRUE,FALSE,TRUE
0,3,-0.104578666,1,0,-0.492101444,TRUE,TRUE,FALSE
1,1,0.12584145121992435,1,0,1.6314187674308411,FALSE,FALSE,FALSE
1,3,-0.181385371,0,0,-0.488579852,FALSE,FALSE,TRUE
0,2,0.970715213,1,0,-0.104726281,TRUE,FALSE,TRUE
1,1,0.20264815682054385,0,0,0.8871895797088641,FALSE,FALSE,FALSE
0,2,0.049034746,0,0,-0.436762135,TRUE,FALSE,TRUE
1,3,-1.026259133,0,0,-0.486064428,TRUE,FALSE,TRUE
0,2,-0.181385371,0,0,-0.386453672,TRUE,FALSE,TRUE
0,3,1.6619755632323148,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
1,1,0.66348839,1,0,1.1630469795095626,TRUE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.459904028,TRUE,FALSE,TRUE
1,2,-0.795839016,0,0,-0.436762135,TRUE,FALSE,TRUE
0,3,-0.680628958,0,0,-0.502163137,TRUE,FALSE,TRUE
0,2,-0.872645722,0,0,-0.386453672,TRUE,FALSE,TRUE
0,3,-0.104578666,3,1,-0.135581467,FALSE,FALSE,TRUE
1,1,0.4330682736224024,1,0,1.0317418918109011,FALSE,FALSE,TRUE
0,3,-0.02777196,0,0,-0.491598359,TRUE,FALSE,TRUE
0,2,2.276429208037271,0,0,-0.37639198,TRUE,FALSE,TRUE
1,3,-1.871132894,4,2,-0.016434929,FALSE,FALSE,TRUE
0,2,-0.411805488,0,0,-0.436762135,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.496126121,FALSE,FALSE,TRUE
0,2,1.1243286240279782,1,0,-0.124849666,TRUE,FALSE,TRUE
1,2,-1.640712778,0,2,-0.11981882,FALSE,FALSE,TRUE
0,2,-0.795839016,0,0,-0.436762135,TRUE,FALSE,TRUE
0,2,0.27945486242116335,0,0,-0.401043126,TRUE,FALSE,TRUE
0,3,-0.104578666,1,0,-0.357190246,FALSE,FALSE,FALSE
1,3,-0.104578666,1,0,-0.33614521,FALSE,TRUE,FALSE
0,2,-0.02777196,0,0,-0.436762135,TRUE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.50467856,TRUE,FALSE,TRUE
0,3,0.049034746,0,0,-0.502666221,TRUE,FALSE,FALSE
0,1,1.1243286240279782,2,0,1.1630469795095626,TRUE,TRUE,FALSE
0,3,-0.334998782,0,0,-0.491598359,FALSE,FALSE,TRUE
1,2,-0.411805488,0,2,-0.356268595,FALSE,FALSE,TRUE
1,1,0.5866816848236415,1,1,0.40951072618442386,TRUE,FALSE,TRUE
0,2,1.8923956800341732,1,0,-0.124849666,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.502163137,TRUE,FALSE,TRUE
0,3,-0.02777196,1,1,-0.437516762,FALSE,FALSE,TRUE
0,1,2.5068493248391293,0,0,-0.113781804,TRUE,FALSE,TRUE
0,3,0.049034746,1,0,-0.324071178,TRUE,FALSE,TRUE
0,3,0.8939085072261196,0,2,-0.241313757,FALSE,FALSE,TRUE
1,3,-0.02777196,0,2,-0.341260574,FALSE,FALSE,FALSE
1,1,-0.104578666,0,0,0.9457144205600544,FALSE,FALSE,FALSE
1,1,0.049034746,0,0,1.0926151317018515,FALSE,FALSE,TRUE
1,1,0.4330682736224024,0,0,9.661740104981664,FALSE,FALSE,FALSE
1,2,1.5851688576316951,0,1,-0.124849666,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.492101444,TRUE,TRUE,FALSE
1,3,-2.024746306,4,2,-0.016434929,TRUE,FALSE,TRUE
0,1,1.7387822688329342,1,1,0.9547699438496172,TRUE,FALSE,TRUE
0,1,0.8171018016255001,0,0,-0.648057678,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
0,2,0.5098749792230219,0,0,-0.436762135,TRUE,FALSE,TRUE
0,3,-1.026259133,4,1,0.15058916727371655,TRUE,FALSE,TRUE
1,3,-0.334998782,1,0,-0.491598359,TRUE,FALSE,TRUE
1,1,2.1996225024366516,0,1,2.440127305651523,FALSE,FALSE,TRUE
1,1,0.4330682736224024,0,0,2.081343448242025,FALSE,FALSE,TRUE
0,1,-0.104578666,0,0,-0.024232741,TRUE,FALSE,TRUE
1,3,-0.334998782,0,0,-0.648057678,TRUE,FALSE,TRUE
1,2,0.8939085072261196,0,1,-0.255651669,FALSE,FALSE,TRUE
0,1,0.5866816848236415,0,1,-0.050393141,TRUE,FALSE,FALSE
1,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
1,1,2.583656030439749,1,0,0.9207272132963871,FALSE,FALSE,TRUE
0,3,1.2011353296285976,0,0,-0.492101444,FALSE,FALSE,TRUE
0,2,-0.104578666,0,0,-0.648057678,TRUE,FALSE,TRUE
0,3,-1.717519483,4,1,-0.061964088,TRUE,TRUE,FALSE
1,3,0.4330682736224024,1,1,-0.24055913,FALSE,FALSE,TRUE
0,3,2.737269441640988,0,0,-0.492101444,TRUE,TRUE,FALSE
0,3,-0.104578666,0,0,-0.490004587,TRUE,FALSE,TRUE
0,3,-1.026259133,0,0,-0.45688552,TRUE,FALSE,TRUE
1,3,-0.795839016,0,0,-0.486064428,TRUE,FALSE,TRUE
0,1,-0.104578666,0,0,-0.124849666,TRUE,FALSE,TRUE
0,3,0.27945486242116335,0,0,-0.473738855,TRUE,FALSE,FALSE
1,3,0.049034746,0,0,-0.45688552,TRUE,FALSE,TRUE
0,3,-0.565418899,0,0,-0.489167454,TRUE,FALSE,TRUE
1,2,0.970715213,0,0,-0.386453672,TRUE,FALSE,TRUE
1,3,-0.565418899,0,0,-0.492101444,FALSE,TRUE,FALSE
1,1,-0.258192077,0,0,0.938671236,FALSE,FALSE,TRUE
1,1,-0.795839016,1,0,1.1847641366964432,FALSE,FALSE,FALSE
0,2,0.5098749792230219,0,0,-0.388969095,TRUE,FALSE,FALSE
0,3,-0.411805488,0,0,-0.46996572,FALSE,FALSE,TRUE
0,3,-0.411805488,0,0,-0.489167454,TRUE,FALSE,TRUE
0,1,-0.104578666,0,0,-0.090221345,TRUE,FALSE,FALSE
0,3,-0.450208841,0,0,-0.502581703,TRUE,FALSE,FALSE
0,1,-2.101553011,1,2,2.401641331670881,FALSE,FALSE,TRUE
1,1,-0.104578666,0,0,-0.034294433,TRUE,FALSE,TRUE
1,1,1.5851688576316951,0,1,4.332898697266388,FALSE,FALSE,FALSE
1,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
1,3,-0.104578666,2,0,-0.180188975,TRUE,TRUE,FALSE
0,3,-0.795839016,0,0,-0.648057678,TRUE,FALSE,TRUE
1,2,-0.104578666,0,0,-0.399533873,FALSE,TRUE,FALSE
0,3,-0.104578666,0,0,-0.486064428,TRUE,FALSE,TRUE
1,1,-2.184504253,1,2,2.401641331670881,TRUE,FALSE,TRUE
1,1,-0.104578666,0,0,1.583289667316069,FALSE,FALSE,FALSE
1,1,-0.949452427,1,0,1.5433789576712023,FALSE,FALSE,FALSE
0,2,0.049034746,1,0,-0.165096436,TRUE,FALSE,FALSE
1,1,0.049034746,0,0,0.4975505359440627,FALSE,FALSE,FALSE
1,1,-0.411805488,0,0,1.0253688157535579,FALSE,FALSE,FALSE
1,1,-0.872645722,2,2,4.631815484039331,FALSE,FALSE,FALSE
0,2,-0.258192077,1,1,-0.124849666,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
0,2,1.0475219184273585,1,1,-0.11981882,TRUE,FALSE,TRUE
1,3,-0.258192077,0,0,-0.490004587,FALSE,FALSE,TRUE
1,2,-0.411805488,1,0,-0.124849666,FALSE,FALSE,TRUE
0,2,1.8923956800341732,0,0,-0.366330287,TRUE,FALSE,TRUE
1,1,0.12584145121992435,0,2,2.669618413871151,FALSE,FALSE,TRUE
1,1,0.8171018016255001,1,1,2.0585376159218884,FALSE,FALSE,FALSE
0,3,-0.565418899,0,0,-0.502163137,TRUE,FALSE,TRUE
0,3,-0.181385371,0,0,-0.489167454,TRUE,FALSE,TRUE
1,2,0.049034746,0,0,-0.399533873,FALSE,TRUE,FALSE
1,2,-0.565418899,1,1,-0.064479511,FALSE,FALSE,TRUE
0,3,-0.104578666,8,2,0.751523754,TRUE,FALSE,TRUE
1,1,0.5098749792230219,0,0,2.081343448242025,FALSE,FALSE,FALSE
0,3,2.430042619,0,0,-0.522538064,TRUE,FALSE,TRUE
1,2,0.5098749792230219,0,0,-0.386453672,FALSE,FALSE,TRUE
1,3,0.12584145121992435,1,1,-0.235025199,FALSE,FALSE,TRUE
1,1,-1.026259133,0,1,0.51868009,FALSE,FALSE,FALSE
1,3,-0.104578666,2,0,-0.180188975,FALSE,TRUE,FALSE
0,1,1.2395386824289074,0,0,-0.074541203,TRUE,FALSE,TRUE
0,1,0.66348839,0,1,2.440127305651523,TRUE,FALSE,TRUE
0,3,-1.026259133,2,0,-0.285836747,TRUE,FALSE,TRUE
1,1,-0.104578666,1,0,2.041432738597159,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
0,1,-0.02777196,1,0,0.6921597684522944,TRUE,FALSE,TRUE
1,1,0.8939085072261196,0,0,2.0585376159218884,FALSE,FALSE,FALSE
1,3,1.2011353296285976,0,0,-0.486064428,TRUE,FALSE,TRUE
0,1,1.2011353296285976,0,0,0.066322492,TRUE,FALSE,TRUE
1,2,-2.101553011,1,1,-0.124849666,TRUE,FALSE,TRUE
1,1,-0.411805488,3,2,4.644392599719279,FALSE,FALSE,TRUE
0,2,-0.104578666,0,0,-0.386453672,TRUE,FALSE,TRUE
0,2,-0.334998782,0,0,-0.386453672,TRUE,FALSE,TRUE
0,2,0.5098749792230219,0,0,-0.386453672,TRUE,FALSE,TRUE
1,2,-0.411805488,0,0,-0.386453672,FALSE,FALSE,TRUE
1,2,0.8171018016255001,0,0,-0.386453672,FALSE,FALSE,TRUE
1,3,-0.104578666,1,0,-0.324071178,FALSE,FALSE,TRUE
1,3,-2.024746306,1,1,-0.328095856,TRUE,FALSE,TRUE
0,3,0.970715213,0,0,-0.473738855,TRUE,FALSE,TRUE
0,3,-0.488612194,0,0,-0.462419451,TRUE,FALSE,TRUE
0,1,-0.104578666,0,0,0.0562608,TRUE,FALSE,TRUE
0,3,-1.103065838,1,1,-0.502581703,TRUE,FALSE,FALSE
0,3,-0.334998782,1,0,-0.289861424,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.502666221,TRUE,FALSE,FALSE
0,3,-0.104578666,0,0,-0.45688552,TRUE,FALSE,TRUE
1,1,-0.565418899,0,1,0.4587285014324523,FALSE,FALSE,TRUE
0,2,0.66348839,0,0,-0.386453672,FALSE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.489501503,FALSE,TRUE,FALSE
1,3,-0.104578666,0,0,-0.489501503,FALSE,TRUE,FALSE
0,3,0.8171018016255001,1,4,-0.086615234,TRUE,FALSE,TRUE
0,2,-0.02777196,1,0,-0.090221345,TRUE,FALSE,FALSE
0,3,1.2011353296285976,0,1,-0.357190246,FALSE,FALSE,FALSE
0,3,0.4330682736224024,0,0,-0.506187814,TRUE,FALSE,TRUE
0,3,-0.104578666,1,0,-0.33614521,TRUE,TRUE,FALSE
0,3,0.049034746,0,0,-0.502163137,TRUE,FALSE,TRUE
1,1,2.3532359136378904,1,0,0.8662270494627804,FALSE,FALSE,FALSE
1,3,-0.104578666,0,0,-0.502581703,FALSE,FALSE,FALSE
